Document,Cluster
"Two swimming training sessions were cancelled on Sunday and Monday because of the water quality.
",Sports
"Daley, 30, effectively retired from the sport after winning gold in the event in Tokyo, but he and Williams, 24, looked calm as he returned to the biggest stage.
",Sports
"Ben Stokes' side have shaken up their personnel and tweaked their style to impressive effect. Anything other than a 3-0 win against an inferior West Indies side would have been a surprise, and England were ruthless and efficient to complete the series in less than 10 days of actual cricket.
",Sports
"A veteran sports commentator has been sacked from his Olympics role after making a sexist remark about Australian female swimmers following their gold medal win.
",Sports
"If your club gives you a release clause in excess of £100m, it's usually a sign you're something special. That could very well be the case for Joao Neves, the young Benfica midfielder who is expected to make a big move this summer.
",Sports
"Leicester City have signed former Reims striker Noemie Mouchon on a three-year contract, subject to international clearance.
",Sports
"England's emphatic Test series win over West Indies has shown the team's ""progression"" but they are ""not the finished article"", according to coach Brendon McCullum.
",Sports
"Ben Stokes set a record for the fastest Test half-century by an England batter as his side won the third match of their series against West Indies at Edgbaston by 10 wickets.
",Sports
"Alice Capsey hit a half century as Oval Invincibles beat Welsh Fire by six wickets in The Hundred women's competition at Sophia Gardens.
",Sports
"Derbyshire opener Harry Came struck a maiden white-ball century as his side demolished Middlesex by nine wickets at Derby to go top of their One-Day Cup group.
",Sports
"Ferrari driver Carlos Sainz is to join Williams next season on what the team calls a ""multi-year"" contract.

The 29-year-old Spaniard has lost his seat at Ferrari after the team decided to sign Lewis Hamilton.
",Sports
"There was drama following the conclusion of the Belgian Grand Prix when race winner George Russell was disqualified after his Mercedes was found to be underweight.
",Sports
"Charles Leclerc says when Ferrari told him Lewis Hamilton would be joining the team next year, his first thought was: ""What an opportunity.""
",Sports
"Pole-sitter Lando Norris says he has nothing to prove in Sunday’s Hungarian Grand Prix, despite not having won since his maiden victory in Miami in May.
",Sports
"
Many athletes have to deal with an increased weight of expectation when coming into an Olympic Games – none perhaps more so than the members of the USA women’s basketball team.
",Sports
"
Simone Biles fought through pain in her calf on Sunday to post an impressive all-around score and display the qualities which have made one of the greatest gymnasts of all time on her return to the Olympics.
",Sports
"
Situated in North London, England sits an ordinary college sports center. Usually, this gym would be full of students getting a workout in, but on this sweltering Friday afternoon there’s a slightly different feel to the place.
",Sports
"
In the run up to the Paris Olympics, athletes have been stepping up their preparations in order to maintain their edge over competitors.
",Sports
"Great Britain's women will need to beat South Africa on Monday to guarantee their place in the Olympic sevens quarter-finals following a humbling 36-5 defeat by Australia.
",Sports
"Duhan van der Merwe says he owes team-mate Kyle Rowe a beer after becoming Scotland's record try-scorer in the victory in Uruguay.
",Sports
